+-----------+-------+
|   Range   | Count |
+-----------+-------+
|  100-200  |  251  |
|  300-400  |  5731 |
|  400-500  | 10600 |
|  500-600  | 10260 |
|  600-700  | 55109 |
|  700-800  |  8510 |
|  800-900  | 20913 |
|  900-1000 |  136  |
| 1000-1100 |  1939 |
| 1100-1200 | 15853 |
| 1200-1300 |  416  |
| 1300-1400 |  1619 |
| 1400-1500 | 22007 |
| 1500-1600 |  2229 |
| 1600-1700 |  225  |
| 1800-1900 | 18951 |
| 1900-2000 |   7   |
| 2000-2100 |  2554 |
| 2100-2200 |  603  |
| 2200-2300 |  278  |
| 2400-2500 |  2840 |
| 2500-2600 |   51  |
| 2600-2700 | 29305 |
| 2900-3000 |  9954 |
| 3000-3100 | 39339 |
| 3100-3200 | 70864 |
| 3200-3300 | 20041 |
| 3300-3400 | 18266 |
| 3400-3500 | 17168 |
| 3500-3600 | 12066 |
| 3600-3700 |  601  |
| 3800-3900 | 45451 |
+-----------+-------+
